,stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id,count
1319,49.347391,54190.0,-123.028591,4236,,,,Southbound Hoskins Rd @ Dempsey Rd,0,BUS ZN,55
1320,49.347074,54188.0,-123.023145,4234,,,,Northbound Lynn Valley Rd @ Dempsey Rd,0,BUS ZN,55
1321,49.345093,54187.0,-123.024599,4233,,,,Northbound Lynn Valley Rd @ Langworthy St,0,BUS ZN,55
1322,49.343712,54186.0,-123.025699,4232,,,,Northbound Lynn Valley Rd @ Burrill Ave,0,BUS ZN,55
1323,49.341448,54185.0,-123.029855,4231,,,,Eastbound Lynn Valley Rd @ Peters Rd,0,BUS ZN,82
1324,49.340205,54184.0,-123.032158,4230,,,,Eastbound Lynn Valley Rd @ Allan Rd,0,BUS ZN,82
1325,49.133614,55536.0,-122.85617,5591,,,,Eastbound 72 Ave @ 132 St,0,BUS ZN,250
1326,49.131577,55535.0,-122.856561,5590,,,,Northbound 132 St @ 70B Ave,0,BUS ZN,103
1327,49.133306,55538.0,-122.841764,5593,,,,Newton Exchange @ Bay 1,0,BUS ZN,464
1328,49.133538,55537.0,-122.851395,5592,,,,Eastbound 72 Ave @ 134 St,0,BUS ZN,201
1329,49.133727,55540.0,-122.851646,5595,,,,Westbound 72 Ave @ Comber Way,0,BUS ZN,200
1330,49.13365,55539.0,-122.847036,5594,,,,Westbound 72 Ave @ King George Blvd,0,BUS ZN,200
1331,49.130842,55542.0,-122.856806,5597,,,,Southbound 132 St @ 70B Ave,0,BUS ZN,103
1332,49.133345,55541.0,-122.856828,5596,,,,Southbound 132 St @ 72 Ave,0,BUS ZN,103
1333,49.126083,55544.0,-122.856703,5599,,,,Southbound 132 St @ 68 Ave,0,BUS ZN,54
1334,49.128907,55543.0,-122.856787,5598,,,,Southbound 132 St @ 69A Ave,0,BUS ZN,103
1335,49.264278,50315.0,-123.185239,318,,,,Eastbound W Broadway @ Alma St,0,BUS ZN,167
1336,49.310579,54169.0,-123.070625,4214,,,,Eastbound E 3rd St @ St. Andrews Ave,0,BUS ZN,51
1337,49.256755,50310.0,-123.185003,313,,,,Northbound Dunbar St @ W 18 Ave,0,BUS ZN,186
1338,49.253177,50308.0,-123.18504,311,,,,Northbound Dunbar St @ W 22 Ave,0,BUS ZN,186
1339,49.250494,50307.0,-123.185062,310,,,,Northbound Dunbar St @ W King Edward Ave,0,BUS ZN,186
1340,49.263872,50314.0,-123.185744,317,,,,Northbound Alma St @ W 10 Ave,0,BUS ZN,166
1341,49.261926,50313.0,-123.185815,316,,,,Northbound Alma St @ W 12 Ave,0,BUS ZN,73
1342,49.260126,50312.0,-123.184213,315,,,,Northbound Dunbar Diversion @ W 14 Ave,0,BUS ZN,73
